$ just status
===========================================================================
🏆 LIVE BENCHMARK LEADERBOARD 🏆
===========================================================================
🥇 trainspotters          | Passed: 11/17 | Tokens:  5,853,347 | Best: trainspotters-81aab93b
🥈 jestatlon              | Passed:  9/17 | Tokens:  6,587,271 | Best: jestatlon-8b0240b0
🥉 benchbyte              | Passed:  8/17 | Tokens:  6,541,912 | Best: benchbyte-f983899b
# 4 bart-de-raver          | Passed:  7/17 | Tokens:  2,608,066 | Best: bart-de-raver-7e583671
# 5 solid-state-benchers   | Passed:  7/17 | Tokens:  3,108,484 | Best: solid-state-benchers-3cf5a840
# 6 baseline               | Passed:  3/17 | Tokens:  2,706,406 | Best: custom-29a916dd

===========================================================================
YOUR SUBMISSIONS (Team: trainspotters)
===========================================================================
ID: trainspotters-300604cc (commit 18bf9ded) [RUNNING] - Completed: 17/17 | Passed: 6 | Tokens: 3,171,088 | Time: 1310.2s
   ❌ airflow-assets                             (149.0s, agent: opencode)
   ✅ airflow-parse-cost                         (117.1s, agent: opencode)
   ❌ analyze-multi-run-plot                     ( 76.9s, agent: opencode)
   ✅ dbt-scd2                                   (332.1s, agent: opencode)
   ✅ extend-trajectory-multistep                (111.4s, agent: opencode)
   ✅ git-secret-history                         (174.8s, agent: opencode)
   ❌ harbor-analyze-results                     (120.0s, agent: opencode)
   ❌ harbor-analyze-trajectories                ( 88.1s, agent: opencode)
   ✅ polars-vectorise                           (216.3s, agent: opencode)
   ❌ proxmox-container-ssh-troubleshooting      ( 61.2s, agent: opencode)
   ❌ pyspark-skew                               ( 89.0s, agent: opencode)
   ❌ survey-challenges-by-segment               (118.4s, agent: opencode)
   ❌ survey-initiatives                         ( 90.9s, agent: opencode)
   ❌ survey-normalize                           (152.8s, agent: opencode)
   ❌ survey-top-challenges                      (122.5s, agent: opencode)
   ✅ terraform-rekey                            (150.6s, agent: opencode)
   ❌ warehouse-net-revenue                      (191.9s, agent: opencode)
---------------------------------------------------------------------------
ID: trainspotters-0cb8ad77 (commit 7b6b714a) [RUNNING] - Completed: 17/17 | Passed: 6 | Tokens: 1,290,786 | Time: 8606.6s
   ❌ airflow-assets                             ( 75.4s, agent: custom)
   ❌ airflow-parse-cost                         ( 91.0s, agent: custom)
   ❌ analyze-multi-run-plot                     (108.0s, agent: custom)
   ✅ dbt-scd2                                   (268.8s, agent: custom)
   ✅ extend-trajectory-multistep                ( 69.1s, agent: custom)
   ✅ git-secret-history                         ( 85.4s, agent: custom)
   ❌ harbor-analyze-results                     (124.6s, agent: custom)
   ❌ harbor-analyze-trajectories                ( 69.7s, agent: custom)
   ✅ polars-vectorise                           (148.8s, agent: custom)
   ✅ proxmox-container-ssh-troubleshooting      (116.7s, agent: custom)
   ❌ pyspark-skew                               (125.4s, agent: custom)
   ✅ survey-challenges-by-segment               ( 89.2s, agent: custom)
   ❌ survey-initiatives                         (205.0s, agent: custom)
   ❌ survey-normalize                           (198.0s, agent: custom)
   ❌ survey-top-challenges                      ( 87.6s, agent: custom)
   ❌ terraform-rekey                            ( 69.9s, agent: custom)
   ❌ warehouse-net-revenue                      ( 91.5s, agent: custom)
---------------------------------------------------------------------------
ID: trainspotters-3008ab10 (commit 53ec0ba4) [RUNNING] - Completed: 17/17 | Passed: 7 | Tokens: 4,388,212 | Time: 1487.8s
   ✅ airflow-assets                             (162.5s, agent: opencode)
   ✅ airflow-parse-cost                         ( 80.8s, agent: opencode)
   ❌ analyze-multi-run-plot                     (130.1s, agent: opencode)
   ❌ dbt-scd2                                   (249.5s, agent: opencode)
   ❌ extend-trajectory-multistep                (108.0s, agent: opencode)
   ✅ git-secret-history                         (272.5s, agent: opencode)
